학교명,설립형태,시도명,주소,설립일,lon,lat
예원예술대,사립,전라북도,전라북도 임실군 신평면 창인로 117,2000-03-02,127.271466710832,35.6477649162508
용인대,사립,경기도,경기도 용인시 처인구 용인대학로 134,1953-06-15,127.170724286597,37.2278788825761
우석대,사립,전라북도,전라북도 완주군 삼례읍 삼례로 443,1979-05-10,127.067811682884,35.9115764544703
우송대,사립,대전광역시,대전광역시 동구 동대전로 171,1995-03-01,127.44573302632,36.335693548807
우송대,사립,대전광역시,대전광역시 동구 동대전로 171,1995-03-01,127.44573302632,36.335693548807
울산과학기술원,특별법법인,울산광역시,울산광역시 울주군 언양읍 유니스트길 50,2009-03-02,129.187618949573,35.5773071411833
울산대,사립,울산광역시,울산광역시 남구 대학로 93,1970-03-16,129.257425346502,35.54183711963
원광대,사립,전라북도,전라북도 익산시 익산대로 460,1951-09-05,126.960223680824,35.9717139651945
원광디지털대,사립,전라북도,전라북도 익산시 익산대로 460,2002-03-01,126.960223680824,35.9717139651945
위덕대,사립,경상북도,경상북도 경주시 강동면 동해대로 261,1995-12-16,129.28259064119,36.016111123839
유원대,사립,충청북도,충청북도 영동군 영동읍 대학로 310,1993-12-17,127.799085400924,36.1958945383408
을지대,사립,대전광역시,대전광역시 중구 계룡로771번길 77,1967-03-21,127.405571713904,36.3330222089918
이화여자대,사립,서울특별시,서울특별시 서대문구 이화여대길 52,1946-08-15,126.950288837762,37.5644645178259
인제대,사립,경상남도,경상남도 김해시 인제로 197,1979-01-12,128.900515324646,35.2528100895983
인천가톨릭대,사립,인천광역시,인천광역시 강화군 양도면 고려왕릉로 53-1,1996-03-01,126.450008257437,37.6566734151903
인천대,국립대법인,인천광역시,인천광역시 연수구 아카데미로 119,1979-03-12,126.632510099924,37.3780742238577
인하대,사립,인천광역시,인천광역시 미추홀구 인하로 100,1954-04-24,126.651542258118,37.4514480321002
장로회신학대,사립,서울특별시,서울특별시 광진구 광장로5길 25-1,1961-02-02,127.103315027061,37.5498636303997
전남대,국립,광주광역시,광주광역시 북구 용봉로 45,1951-10-06,126.901101801289,35.1729465031535
전북대,국립,전라북도,전라북도 전주시 덕진구 백제대로 567,1951-10-06,127.131588969832,35.8411382714422
전주교육대,국립,전라북도,전라북도 전주시 완산구 서학로 50,1963-03-01,127.153803947535,35.8091640624342
전주대,사립,전라북도,전라북도 전주시 완산구 천잠로 303,1953-05-05,127.088884123482,35.8161641666537
정석대학,사립,서울특별시,서울특별시 강서구 오정로 576,2000-03-01,126.813884120882,37.5462081658044
제주국제대,사립,제주특별자치도,제주특별자치도 제주시 516로 2870,2012-03-01,126.569831091366,33.4427732522923
제주대,국립,제주특별자치도,제주특별자치도 제주시 제주대학로 102,1952-05-27,126.56429389472,33.4572369752041
조선대,사립,광주광역시,광주광역시 동구 필문대로 309,1946-09-29,126.925929755143,35.1436427295862
중부대,사립,충청남도,충청남도 금산군 추부면 대학로 201,1993-03-01,127.448703841954,36.1919714420686
중앙대,사립,서울특별시,서울특별시 동작구 흑석로 84,1918-04-01,126.953833907628,37.5047267237807
중앙승가대,사립,경기도,경기도 김포시 승가로 147,1979-03-18,126.706375309859,37.6091860168389
중원대,사립,충청북도,충청북도 괴산군 괴산읍 문무로 85,2009-03-02,127.798493849973,36.8191551494983
진주교육대,국립,경상남도,경상남도 진주시 진양호로369번길 3,1963-01-01,128.06793000041,35.1858108225369
진주산업대,국립,경상남도,경상남도 진주시 동진로 33,1910-04-30,128.092080852163,35.1792658758639
차의과학대,사립,경기도,경기도 포천시 해룡로 120,1996-12-11,127.137549418787,37.8560144127676
창신대,사립,경상남도,경상남도 창원시 마산회원구 팔용로 262,2013-03-04,128.599596124773,35.2446928950772
창원대,국립,경상남도,경상남도 창원시 의창구 창원대학로 20,1969-03-21,128.694816891338,35.2459596336655
청운대,사립,충청남도,충청남도 홍성군 홍성읍 대학길 25,1994-12-03,126.664273052049,36.582338563114
청주교육대,국립,충청북도,충청북도 청주시 서원구 청남로 2065,1962-02-17,127.484009466388,36.6154291995103
청주대,사립,충청북도,충청북도 청주시 청원구 대성로 298,1947-06-06,127.495199134623,36.6508565012441
초당대,사립,전라남도,전라남도 무안군 무안읍 무안로 380,1994-03-07,126.470266451147,34.980047336493
초당대,사립,전라남도,전라남도 무안군 무안읍 무안로 380,1994-03-07,126.470266451147,34.980047336493
총신대,사립,서울특별시,서울특별시 동작구 사당로 143,1967-06-02,126.966763108256,37.4879290070931
추계예술대,사립,서울특별시,서울특별시 서대문구 북아현로11가길 7,1996-12-11,126.954059321222,37.5631767195176
춘천교육대,국립,강원도,강원도 춘천시 공지로 126,1939-04-01,127.748604908591,37.8594173195795
충남대,국립,대전광역시,대전광역시 유성구 대학로 99,1952-05-25,127.341662059729,36.3683281154744
충북대,국립,충청북도,충청북도 청주시 서원구 충대로 1,1951-09-27,127.455076764458,36.6300443933522
칼빈대,사립,경기도,경기도 용인시 기흥구 마북로 184,1997-03-03,127.128686425614,37.3051459316977
탐라대,사립,제주특별자치도,제주특별자치도 서귀포시 1100로 506-1,1997-12-05,126.460413682956,33.2888519761506
평택대,사립,경기도,경기도 평택시 서동대로 3825,1990-11-28,127.133968496931,36.9946392307399
포항공과대,사립,경상북도,경상북도 포항시 남구 청암로 77,1986-12-03,129.321301170832,36.0105883055805
한경대,국립,경기도,경기도 안성시 중앙로 327,2012-03-01,127.263767089376,37.010187333414
한경대,국립,경기도,경기도 안성시 중앙로 327,1993-03-01,127.263767089376,37.010187333414
한국공학대,사립,경기도,경기도 시흥시 산기대학로 237,2012-03-01,126.733539352474,37.339732743931
한국과학기술원,특별법법인,대전광역시,대전광역시 유성구 대학로 291,1971-02-16,127.356981924269,36.3682827819718
한국교원대,국립,충청북도,충청북도 청주시 흥덕구 강내면 태성탑연로 250,1984-03-15,127.357362327758,36.6056617527318
한국교통대,국립,충청북도,충청북도 충주시 대소원면 대학로 50,1914-04-01,127.87276944768,36.9688466996986
한국국제대,사립,경상남도,경상남도 진주시 문산읍 동부로 965,2002-11-16,128.19993693696,35.1758150452813
한국기술교육대,사립,충청남도,충청남도 천안시 동남구 병천면 충절로 1600,1991-11-02,127.281200389603,36.765104950533
한국방송통신대,국립,서울특별시,서울특별시 종로구 대학로 86,1972-03-09,127.003290880975,37.5791954862382
한국산업기술대,사립,경기도,경기도 시흥시 산기대학로 237,1998-03-07,126.733539352474,37.339732743931
한국성서대,사립,서울특별시,서울특별시 노원구 동일로214길 32,1996-12-11,127.063750963519,37.6489617715837
한국에너지공과대,특별법법인,전라남도,전라남도 나주시 켄텍길 21,NA,126.803781029891,35.0108404980884
한국열린사이버대,사립,서울특별시,"서울특별시 중랑구 망우로 353, C동 9층",2001-03-01,127.091624142481,37.5983328190955
한국예술종합,특별법국립,서울특별시,서울특별시 성북구 화랑로32길 146-37,1992-10-30,127.053940846723,37.6063581128476
한국외국어대,사립,서울특별시,서울특별시 동대문구 이문로 107,1954-04-20,127.057942413722,37.5982966771548
한국전통문화대,특별법국립,충청남도,충청남도 부여군 규암면 백제문로 367,2000-04-19,126.89688409526,36.3094801243805
한국체육대,국립,서울특별시,서울특별시 송파구 양재대로 1239,1976-12-30,127.132000539547,37.5199046323075
한국침례신학대,사립,대전광역시,대전광역시 유성구 북유성대로 190,1973-12-22,127.323044548494,36.3847093350448
한국항공대,사립,경기도,경기도 고양시 덕양구 항공대학로 76,1952-06-16,126.864172526764,37.5990163344733
한국해양대,국립,부산광역시,부산광역시 영도구 태종로 727,1945-11-05,129.087131295109,35.0744069144827
한남대,사립,대전광역시,대전광역시 대덕구 한남로 70,1956-03-13,127.419951766947,36.3555640023271
한동대,사립,경상북도,경상북도 포항시 북구 흥해읍 한동로 558,1994-12-02,129.389266058166,36.1023014256562
한라대,사립,강원도,강원도 원주시 흥업면 한라대길 28,1997-03-01,127.906918959953,37.303976829171
한려대,사립,전라남도,전라남도 광양시 광양읍 한려대길 94-13,2011-03-01,127.563910591184,34.95666332606
한림대,사립,강원도,강원도 춘천시 한림대학길 1,1982-03-01,127.734962063258,37.8854275477545
한밭대,국립,대전광역시,대전광역시 유성구 동서대로 125,2012-03-01,127.305261969401,36.3452663484108
한밭대,국립,대전광역시,대전광역시 유성구 동서대로 125,1927-05-20,127.305261969401,36.3452663484108
한북대,사립,경기도,경기도 동두천시 벌마들로40번길 30,2003-10-22,127.037887481412,37.9038706043379
한서대,사립,충청남도,충청남도 서산시 해미면 한서1로 46,1991-11-15,126.586964768503,36.6907152767617
한성대,사립,서울특별시,서울특별시 성북구 삼선교로16길 116,1972-12-21,127.010390004805,37.5832358514072
한세대,사립,경기도,경기도 군포시 한세로 30,1953-05-10,126.953885673336,37.3441460362666
