"등급","과목","구분 점수","인원(명)","비율(%)","","","","","","","",""
"4","지구 과학 Ⅰ","54","13276","15.78","","","","","","","",""
"5","지구 과학 Ⅰ","47","17694","21.03","","","","","","","",""
"6","지구 과학 Ⅰ","41","16127","19.17","","","","","","","",""
"7","지구 과학 Ⅰ","37","8006","9.51","","","","","","","",""
"8","지구 과학 Ⅰ","34","5496","6.53","","","","","","","",""
"9","지구 과학 Ⅰ","34","3128","3.72","","","","","","","",""
"1","물리 Ⅱ","65","169","4.28","","","","","","","",""
"2","물리 Ⅱ","63","300","7.59","","","","","","","",""
"3","물리 Ⅱ","60","454","11.48","","","","","","","",""
"4","물리 Ⅱ","54","767","19.4","","","","","","","",""
"5","물리 Ⅱ","46","755","19.1","","","","","","","",""
"6","물리 Ⅱ","40","687","17.38","","","","","","","",""
"7","물리 Ⅱ","37","430","10.88","","","","","","","",""
"8","물리 Ⅱ","35","236","5.97","","","","","","","",""
"9","물리 Ⅱ","35","155","3.92","","","","","","","",""
"1","화학 Ⅱ","65","317","5.81","","","","","","","",""
"2","화학 Ⅱ","62","371","6.8","","","","","","","",""
"3","화학 Ⅱ","59","706","12.95","","","","","","","",""
"4","화학 Ⅱ","54","910","16.69","","","","","","","",""
"5","화학 Ⅱ","47","1146","21.02","","","","","","","",""
"6","화학 Ⅱ","41","834","15.29","","","","","","","",""
"7","화학 Ⅱ","36","627","11.5","","","","","","","",""
"8","화학 Ⅱ","33","380","6.97","","","","","","","",""
"9","화학 Ⅱ","33","162","2.97","","","","","","","",""
"1","생명 과학 Ⅱ","66","1722","5.57","","","","","","","",""
"2","생명 과학 Ⅱ","63","1818","5.88","","","","","","","",""
"3","생명 과학 Ⅱ","59","4257","13.76","","","","","","","",""
"4","생명 과학 Ⅱ","53","5191","16.78","","","","","","","",""
"5","생명 과학 Ⅱ","46","6125","19.8","","","","","","","",""
"6","생명 과학 Ⅱ","41","5245","16.96","","","","","","","",""
"7","생명 과학 Ⅱ","37","3743","12.1","","","","","","","",""
"8","생명 과학 Ⅱ","34","1901","6.15","","","","","","","",""
