등급,과목,구분 점수,인원(명),비율(%)
6,아랍어 Ⅰ,43,"7,814",14.85
7,아랍어 Ⅰ,42,"3,887",7.39
8,아랍어 Ⅰ,39,"3,518",6.68
9,아랍어 Ⅰ,39미만,"1,611",3.06
1,베트남어 Ⅰ,72,193,5.34
2,베트남어 Ⅰ,68,212,5.87
3,베트남어 Ⅰ,55,462,12.79
4,베트남어 Ⅰ,48,711,19.68
5,베트남어 Ⅰ,45,642,17.77
6,베트남어 Ⅰ,43,755,20.9
7,베트남어 Ⅰ,42,262,7.25
8,베트남어 Ⅰ,40,258,7.14
9,베트남어 Ⅰ,40미만,118,3.27
1,한문 Ⅰ,67,277,8.8
2,한문 Ⅰ,65,132,4.19
3,한문 Ⅰ,59,401,12.74
4,한문 Ⅰ,51,543,17.25
5,한문 Ⅰ,45,631,20.05
6,한문 Ⅰ,41,515,16.36
7,한문 Ⅰ,38,356,11.31
8,한문 Ⅰ,36,173,5.5
9,한문 Ⅰ,36미만,119,3.78
