"등급","과목","구분점수","도수(명)","비율(%)","","","","","","","",""
"7","생명 과학Ⅱ","37","5344","13.47","","","","","","","",""
"8","생명 과학Ⅱ","34","2602","6.56","","","","","","","",""
"9","생명 과학Ⅱ","34","770","1.94","","","","","","","",""
"1","지구 과학Ⅱ","66","454","4.35","","","","","","","",""
"2","지구 과학Ⅱ","64","757","7.25","","","","","","","",""
"3","지구 과학Ⅱ","60","1337","12.8","","","","","","","",""
"4","지구 과학Ⅱ","54","1672","16.01","","","","","","","",""
"5","지구 과학Ⅱ","46","2098","20.09","","","","","","","",""
"6","지구 과학Ⅱ","40","2268","21.72","","","","","","","",""
"7","지구 과학Ⅱ","37","839","8.03","","","","","","","",""
"8","지구 과학Ⅱ","35","626","6","","","","","","","",""
"9","지구 과학Ⅱ","35","391","3.74","","","","","","","",""
"1","농생명 산업","135","29","4.26","","","","","","","",""
"2","농생명 산업","126","50","7.34","","","","","","","",""
"3","농생명 산업","116","79","11.6","","","","","","","",""
"4","농생명 산업","106","131","19.24","","","","","","","",""
"5","농생명 산업","94","134","19.68","","","","","","","",""
"6","농생명 산업","84","112","16.45","","","","","","","",""
"7","농생명 산업","74","74","10.87","","","","","","","",""
"8","농생명 산업","65","46","6.75","","","","","","","",""
"9","농생명 산업","65","26","3.82","","","","","","","",""
"1","공업","141","195","4.23","","","","","","","",""
"2","공업","130","346","7.51","","","","","","","",""
"3","공업","115","555","12.04","","","","","","","",""
"4","공업","101","754","16.36","","","","","","","",""
"5","공업","92","920","19.96","","","","","","","",""
"6","공업","84","872","18.92","","","","","","","",""
"7","공업","78","525","11.39","","","","","","","",""
"8","공업","72","260","5.64","","","","","","","",""
"9","공업","72","182","3.95","","","","","","","",""
"1","상업 정보","137","271","4.72","","","","","","","",""
"2","상업 정보","129","404","7.03","","","","","","","",""
"3","상업 정보","117","654","11.39","","","","","","","",""
"4","상업 정보","104","973","16.94","","","","","","","",""
"5","상업 정보","92","1157","20.15","","","","","","","",""
"6","상업 정보","83","1057","18.41","","","","","","","",""
"7","상업 정보","76","617","10.74","","","","","","","",""
"8","상업 정보","70","414","7.21","","","","","","","",""
"9","상업 정보","70","196","3.41","","","","","","","",""
"1","수산·해운","135","5","4.85","","","","","","","",""
"2","수산·해운","124","10","9.71","","","","","","","",""
"3","수산·해운","118","10","9.71","","","","","","","",""
"4","수산·해운","105","17","16.5","","","","","","","",""
"5","수산·해운","93","24","23.3","","","","","","","",""
"6","수산·해운","84","14","13.59","","","","","","","",""
"7","수산·해운","75","14","13.59","","","","","","","",""
"8","수산·해운","66","5","4.85","","","","","","","",""
"9","수산·해운","66","4","3.88","","","","","","","",""
"1","가사·실업","137","85","4.33","","","","","","","",""
"2","가사·실업","128","138","7.03","","","","","","","",""
"3","가사·실업","116","252","12.83","","","","","","","",""
"4","가사·실업","104","334","17.01","","","","","","","",""
"5","가사·실업","92","410","20.88","","","","","","","",""
"6","가사·실업","84","328","16.7","","","","","","","",""
"7","가사·실업","77","206","10.49","","","","","","","",""
"8","가사·실업","67","152","7.74","","","","","","","",""
"9","가사·실업","67","59","3","","","","","","","",""
"1","독일어Ⅰ","63","93","5.36","","","","","","","",""
"2","독일어Ⅰ","61","145","8.36","","","","","","","",""
"3","독일어Ⅰ","60","185","10.67","","","","","","","",""
"4","독일어Ⅰ","57","279","16.09","","","","","","","",""
"5","독일어Ⅰ","46","352","20.3","","","","","","","",""
"6","독일어Ⅰ","39","322","18.57","","","","","","","",""
"7","독일어Ⅰ","36","223","12.86","","","","","","","",""
"8","독일어Ⅰ","35","86","4.96","","","","","","","",""
"9","독일어Ⅰ","35","49","2.83","","","","","","","",""
"1","프랑스어Ⅰ","65","106","5.28","","","","","","","",""
"2","프랑스어Ⅰ","62","224","11.16","","","","","","","",""
"3","프랑스어Ⅰ","60","138","6.88","","","","","","","",""
"4","프랑스어Ⅰ","55","343","17.09","","","","","","","",""
"5","프랑스어Ⅰ","46","437","21.77","","","","","","","",""
"6","프랑스어Ⅰ","41","311","15.5","","","","","","","",""
"7","프랑스어Ⅰ","37","250","12.46","","","","","","","",""
"8","프랑스어Ⅰ","35","123","6.13","","","","","","","",""
