"등급","과목","구분 점수","인원(명)","비율(%)","","",""
"9","중국어 Ⅰ","34","109","2.94","","",""
"1","일본어 Ⅰ","65","389","6.62","","",""
"2","일본어 Ⅰ","63","395","6.72","","",""
"3","일본어 Ⅰ","60","696","11.85","","",""
"4","일본어 Ⅰ","54","1060","18.05","","",""
"5","일본어 Ⅰ","45","1018","17.33","","",""
"6","일본어 Ⅰ","40","1060","18.05","","",""
"7","일본어 Ⅰ","38","682","11.61","","",""
"8","일본어 Ⅰ","35","473","8.05","","",""
"9","일본어 Ⅰ","35","101","1.72","","",""
"1","러시아어 Ⅰ","71","37","4.82","","",""
"2","러시아어 Ⅰ","67","52","6.78","","",""
"3","러시아어 Ⅰ","60","88","11.47","","",""
"4","러시아어 Ⅰ","47","155","20.21","","",""
"5","러시아어 Ⅰ","44","214","27.9","","",""
"6","러시아어 Ⅰ","43","62","8.08","","",""
"7","러시아어 Ⅰ","41","127","16.56","","",""
"8","러시아어 Ⅰ","40","18","2.35","","",""
"9","러시아어 Ⅰ","40","14","1.83","","",""
"1","아랍어 Ⅰ","81","2171","4.18","","",""
"2","아랍어 Ⅰ","57","3722","7.17","","",""
"3","아랍어 Ⅰ","52","7814","15.06","","",""
"4","아랍어 Ⅰ","49","11715","22.58","","",""
"5","아랍어 Ⅰ","46","8273","15.95","","",""
"6","아랍어 Ⅰ","44","7470","14.4","","",""
"7","아랍어 Ⅰ","42","6644","12.81","","",""
"8","아랍어 Ⅰ","40","2922","5.63","","",""
"9","아랍어 Ⅰ","40","1151","2.22","","",""
"1","베트남어 Ⅰ","76","102","5.24","","",""
"2","베트남어 Ⅰ","69","114","5.85","","",""
"3","베트남어 Ⅰ","52","242","12.42","","",""
"4","베트남어 Ⅰ","48","343","17.61","","",""
"5","베트남어 Ⅰ","46","394","20.23","","",""
"6","베트남어 Ⅰ","44","360","18.48","","",""
"7","베트남어 Ⅰ","42","222","11.4","","",""
"8","베트남어 Ⅰ","40","109","5.6","","",""
"9","베트남어 Ⅰ","40","62","3.18","","",""
"1","한문 Ⅰ","71","137","4.75","","",""
"2","한문 Ⅰ","65","196","6.8","","",""
"3","한문 Ⅰ","57","358","12.42","","",""
"4","한문 Ⅰ","50","535","18.56","","",""
"5","한문 Ⅰ","46","532","18.46","","",""
"6","한문 Ⅰ","42","478","16.59","","",""
"7","한문 Ⅰ","39","344","11.94","","",""
"8","한문 Ⅰ","37","206","7.15","","",""
"9","한문 Ⅰ","37","96","3.33","","",""
